"","chillweeks...1","INC...2","Cryptotaenia canadensis...3","Hesperis matronalis...4","Cryptotaenia canadensis...7","Hesperis matronalis...8"
"1",0,"H","0.07 (0.1","0.78 (0","15.25 (0","3.11 (0.6"
"2",0,"L","0 (0","0.75 (0.1","NaN (NA","4.59 (0.7"
"3",2,"H","0.03 (0","1 (0","9 (1","2.3 (0.1"
"4",2,"L","0.2 (0.2","0.82 (0.1","10.25 (0.3","2.57 (0.5"
"5",4,"H","0.18 (0.1","0.97 (0","9.83 (3.6","2.49 (0.3"
"6",4,"L","0.58 (0.3","0.82 (0.1","11.06 (1.1","3.5 (0.6"
"7",5,"H","0.08 (0.1","1 (0","8.44 (4.7","2.33 (0.4"
"8",5,"L","0.85 (0.1","0.9 (0.1","7.67 (0.5","2.62 (0.6"
"9",6,"H","0.25 (0.2","0.98 (0","13.5 (6.9","1.91 (0.2"
"10",6,"L","0.77 (0.1","0.97 (0.1","8.11 (0.4","2.14 (0.2"
"11",7,"H","0.6 (0","0.87 (0","5.81 (0.2","2 (0"
"12",7,"L","0.97 (0.1","1 (0","6.29 (0.2","2.15 (0.2"
"13",8,"H","0.5 (0.1","1 (0","7.4 (0.3","2.06 (0.2"
"14",8,"L","0.98 (0","0.95 (0","6.09 (0.4","1.94 (0.1"
"15",9,"H","0.6 (0.1","0.98 (0","5.22 (0.7","1.74 (0.1"
"16",9,"L","1 (0","0.93 (0.1","6.04 (0.5","1.78 (0"
"17",11,"H","0.73 (0.2","0.98 (0","4.61 (0.2","1.86 (0.1"
"18",11,"L","0.93 (0.1","0.93 (0.1","5.04 (0.3","2.11 (0.5"
"19",13,"H","0.77 (0.2","0.88 (0","4.14 (0.3","1.89 (0.9"
"20",13,"L","1 (0","0.98 (0","4.16 (0.2","1.42 (0.3"
